Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,0.393750,0.416071,0.392143,0.416071,0.356271,529496800
2002-01-03,0.410714,0.424107,0.406607,0.421071,0.360552,612007200
2002-01-04,0.416786,0.427679,0.410536,0.423036,0.362235,409976000
2002-01-07,0.423571,0.428571,0.406250,0.408929,0.350155,444584000
2002-01-08,0.406250,0.411607,0.401071,0.403750,0.345721,450038400
2002-01-09,0.407143,0.409464,0.380000,0.386607,0.331042,327835200
2002-01-10,0.378929,0.383214,0.361607,0.379107,0.324620,452737600
2002-01-11,0.381964,0.390000,0.367857,0.375893,0.321868,348801600
2002-01-14,0.375179,0.382143,0.373214,0.377679,0.323397,415996000
2002-01-15,0.380714,0.388571,0.378750,0.387500,0.331806,290320800
2002-01-16,0.382321,0.382321,0.366071,0.371071,0.317739,566893600
2002-01-17,0.392143,0.406071,0.390536,0.401429,0.343733,660576000
2002-01-18,0.392857,0.403571,0.392143,0.395893,0.338993,338811200
2002-01-22,0.397679,0.399464,0.389643,0.389643,0.333641,327314400
2002-01-23,0.389286,0.411429,0.385536,0.411071,0.351990,443279200
2002-01-24,0.409107,0.419821,0.408929,0.414464,0.354895,344002400
2002-01-25,0.408750,0.418214,0.404643,0.415179,0.355507,185914400
2002-01-28,0.417857,0.420536,0.405714,0.415536,0.355813,186446400
2002-01-29,0.414643,0.420357,0.408036,0.411964,0.352754,240324000
2002-01-30,0.411964,0.431071,0.409643,0.430179,0.368351,471576000
2002-01-31,0.431429,0.441607,0.430536,0.441429,0.377984,468445600
2002-02-01,0.434643,0.445714,0.434643,0.435893,0.373244,398305600
2002-02-04,0.434286,0.455714,0.432143,0.452679,0.387617,522373600
2002-02-05,0.448036,0.463929,0.447857,0.454464,0.389146,456887200
2002-02-06,0.457143,0.463929,0.431250,0.440536,0.377220,597576000
2002-02-07,0.440179,0.451607,0.430000,0.433929,0.371562,347832800
2002-02-08,0.435714,0.440000,0.417321,0.429107,0.367433,355331200
